Country (or dependent territory),Density (pop/squared km)
Macau (China)[3],21224
Monaco,18900
Singapore,7697
Hong Kong (China)[4],6571
Gibraltar (UK)[5],4250
Vatican City,1818
Bahrain,1631
Malta,1321
Bermuda (UK),1212
Bangladesh,1107.14
Sint Maarten (Kingdom of the Netherlands),1101
Maldives,1065
Jersey (UK),844
Guernsey (UK),800
Palestinian Territories[6],756
Saint Martin (France),685
Taiwan[7],647
Barbados,638
Mauritius,618
Mayotte (France),568
San Marino,531
Aruba (Kingdom of the Netherlands),526
South Korea,503
Lebanon,487
Nauru,480
Tuvalu,436
Saint Barth�lemy (France),426
Rwanda,416
Puerto Rico (US)[8],414
Netherlands,407.7
Haiti,397
Comoros,389
India,389.56
Israel,382.54
Belgium,368
Martinique (France),349
Burundi,343
Curacao (Kingdom of the Netherlands),339
Philippines,341.35
Japan,335.58
Reunion (France),327
Marshall Islands,310
Sri Lanka,309
United States Virgin Islands (US),302
El Salvador,301
Grenada,300
Guam (US),295
American Samoa (US),282
Saint Lucia,270
Vietnam,268
United Kingdom,262
Saint Vincent and the Grenadines,259
Trinidad and Tobago,258
Guadeloupe (France),247
Jamaica,247
Pakistan,238.28
Liechtenstein,230
Germany,228
Cayman Islands (UK),214
Luxembourg,208
Italy,202
Kuwait,201
Seychelles,200
Switzerland,198
Dominican Republic,197
North Korea,196
British Virgin Islands (UK),196
Antigua and Barbuda,195
Nigeria,193
Saint Kitts and Nevis,192
Sao Tome and Principe,187
Nepal,180
Qatar,175
Gambia,173
Kosovo[10],166
Andorra,164
Uganda,152
Isle of Man,148
Kiribati,147
Cyprus,146
Tonga,145
Federated States of Micronesia,145
Guatemala,145
China,142.45
Tokelau (NZ),141
Anguilla (UK),140
Czech Republic,133
Denmark,131
Thailand,131
Indonesia,135
Poland,123
Cape Verde,122
Malawi,121
Northern Mariana Islands (US),118
France,118
Syria,115
Portugal,115
Slovakia,110
Togo,109
Azerbaijan,109
Hungary,106
Moldova,105
Ghana,103
Cuba,102
Armenia,102
Slovenia,102
Austria,102
Turkey,101
United Arab Emirates,99
Albania,98
Dominica,96
Spain,92
Serbia,92
Benin,92
Costa Rica,91
Malaysia,94
Northern Cyprus,88
Egypt,89.7
Sierra Leone,85
Romania,84
Cambodia,84
Greece,84
Ethiopia,83
Iraq,83
Macedonia,80
Kenya,78
Myanmar,76
Croatia,76
French Polynesia (France),76
Honduras,75
Ukraine,75
Bosnia and Herzegovina,75
Morocco,75.69
Jordan,76.18
Ivory Coast,72
Swaziland,72
Timor-Leste,71
Senegal,69
Uzbekistan,69
Lesotho,68
Brunei,68
Samoa,66
Tunisia,66
Bulgaria,66
Caribbean Netherlands (Netherlands),66
Norfolk Island (Australia),66
Ireland,65
Georgia,64
Burkina Faso,64
Turks and Caicos Islands (UK),63
Cook Islands (NZ),63
Ecuador,63
Mexico,61
Equatorial Guinea,58
Tajikistan,57
Yemen,54
Eritrea,52
Tanzania,51
Nicaragua,50
Montserrat (UK),48
Wallis and Futuna (France),48
Iran,47.82
Fiji,47
Panama,46
Belarus,46
Lithuania,45
Montenegro,45
Cameroon,44
Guinea,43
South Africa,43
Palau,43
Guinea-Bissau,42
Colombia,42.4
Afghanistan,39
Cocos (Keeling) Islands (Australia),39
Djibouti,38
Liberia,36
Madagascar,35
" Saint Helena, Ascension and Tristan da Cunha (UK)",35
Faroe Islands (Denmark),34
Zimbabwe,33
United States,32.8
Venezuela,32
Latvia,31
Mozambique,29.6
Democratic Republic of the Congo,29.6
Kyrgyzstan,29.5
Estonia,29
Laos,27.8
Bahamas,25.2
Saint Pierre and Miquelon (France),25.1
Brazil,23.8
Peru,23.7
Chile,22
Vanuatu,21.7
Sweden,21.7
Bhutan,20
Uruguay,18.6
land Islands (Finland),18.4
Solomon Islands,18.2
Finland,16.2
South Sudan,17.5
Zambia,17.4
Sudan,16.8
New Zealand,17.13
Angola,16.5
Paraguay,16.4
Algeria,16.2
Norway,15.6
Papua New Guinea,16
Christmas Island (Australia),15.1
Somalia,14.6
Niger,14.4
Argentina,14.4
Belize,14.1
Saudi Arabia,14
New Caledonia (France),13.9
Oman,13.5
Republic of the Congo,13
Mali,11.6
Turkmenistan,10.7
Bolivia,9.46
Chad,8.78
Russia,8.42
Central African Republic,7.42
Gabon,6.25
Kazakhstan,6.31
Niue (NZ),6.18
Guyana,3.65
Canada,3.62
Libya,3.5
Botswana,3.48
Mauritania,3.36
Suriname,3.26
Iceland,3.21
Australia,3.12
French Guiana (France),2.65
Namibia,2.56
Western Sahara[12],2.25
Mongolia,1.92
Pitcairn Islands (UK),1.19
Falkland Islands (UK)[13],0.21
Svalbard and Jan Mayen (Norway),0.04
Greenland (Denmark),0.03
